audio_filepath,tempo,genre,duration
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00027-2.wav,93.33,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00028-1.wav,103.84,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00028-2.wav,103.84,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00029-1.wav,126.46,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00029-2.wav,126.46,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00030-1.wav,110.11,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00030-2.wav,110.11,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00031-1.wav,116.48,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00031-2.wav,116.48,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00032-1.wav,126.12,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00032-2.wav,126.12,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00033-1.wav,154.56,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00033-2.wav,154.56,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00034-1.wav,93.81,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00034-2.wav,93.81,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00035-1.wav,129.6,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00035-2.wav,129.6,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00036-1.wav,113.22,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00036-2.wav,113.22,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00037-1.wav,75.55,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00037-2.wav,75.55,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00038-1.wav,85.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00038-2.wav,85.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00039-1.wav,116.62,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00039-2.wav,116.62,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00040-1.wav,172.25,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00040-2.wav,172.25,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00041-1.wav,127.48,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00041-2.wav,127.48,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00042-1.wav,59.68,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00042-2.wav,59.68,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00043-1.wav,129.44,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00043-2.wav,129.44,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00044-1.wav,202.94,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00044-2.wav,202.94,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00045-1.wav,263.53,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00045-2.wav,263.53,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00046-1.wav,121.77,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00046-2.wav,121.77,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00047-1.wav,151.09,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00047-2.wav,151.09,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00048-1.wav,121.23,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00048-2.wav,121.23,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00049-1.wav,61.99,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00049-2.wav,61.99,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00050-1.wav,136.26,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00050-2.wav,136.26,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00051-1.wav,195.64,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00051-2.wav,195.64,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00052-1.wav,50.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00052-2.wav,50.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00053-1.wav,100.93,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00053-2.wav,100.93,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00054-1.wav,181.55,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00054-2.wav,181.55,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00055-1.wav,132.9,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00055-2.wav,132.9,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00056-1.wav,53.4,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00056-2.wav,53.4,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00057-1.wav,185.43,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00057-2.wav,185.43,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00058-1.wav,105.74,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00058-2.wav,105.74,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00059-1.wav,108.0,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00059-2.wav,108.0,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00060-1.wav,149.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00060-2.wav,149.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00061-1.wav,131.63,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00061-2.wav,131.63,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00062-1.wav,112.87,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00062-2.wav,112.87,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00063-1.wav,91.03,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00063-2.wav,91.03,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00064-1.wav,155.31,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00064-2.wav,155.31,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00065-1.wav,108.03,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00065-2.wav,108.03,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00066-1.wav,164.02,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00066-2.wav,164.02,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00067-1.wav,161.71,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00067-2.wav,161.71,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00068-1.wav,162.3,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00068-2.wav,162.3,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00069-1.wav,79.14,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00069-2.wav,79.14,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00070-1.wav,147.38,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00070-2.wav,147.38,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00071-1.wav,147.23,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00071-2.wav,147.23,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00072-1.wav,68.63,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00072-2.wav,68.63,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00073-1.wav,97.14,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00073-2.wav,97.14,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00074-1.wav,111.17,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00074-2.wav,111.17,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00075-1.wav,117.8,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00075-2.wav,117.8,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00076-1.wav,116.16,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00076-2.wav,116.16,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00077-1.wav,148.65,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00077-2.wav,148.65,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00078-1.wav,241.0,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00078-2.wav,241.0,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00079-1.wav,158.65,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00079-2.wav,158.65,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00080-1.wav,117.07,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00080-2.wav,117.07,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00081-1.wav,205.07,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00081-2.wav,205.07,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00082-1.wav,125.98,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00082-2.wav,125.98,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00083-1.wav,133.05,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00083-2.wav,133.05,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00084-1.wav,111.6,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00084-2.wav,111.6,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00085-1.wav,143.37,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00085-2.wav,143.37,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00086-1.wav,122.48,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00086-2.wav,122.48,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00087-1.wav,175.51,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00087-2.wav,175.51,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00088-1.wav,171.16,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00088-2.wav,171.16,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00089-1.wav,107.15,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00089-2.wav,107.15,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00090-1.wav,141.23,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00090-2.wav,141.23,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00091-1.wav,124.91,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00091-2.wav,124.91,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00092-1.wav,120.67,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00092-2.wav,120.67,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00093-1.wav,87.89,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00093-2.wav,87.89,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00094-1.wav,102.43,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00094-2.wav,102.43,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00095-1.wav,137.06,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00095-2.wav,137.06,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00096-1.wav,58.55,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00096-2.wav,58.55,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00097-1.wav,237.68,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00097-2.wav,237.68,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00098-1.wav,125.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00098-2.wav,125.52,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00099-1.wav,93.25,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00099-2.wav,93.25,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00000-1.wav,94.26,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00000-2.wav,94.26,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00001-1.wav,113.3,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00001-2.wav,113.3,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00002-1.wav,197.84,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00002-2.wav,197.84,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00003-1.wav,65.83,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00003-2.wav,65.83,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00004-1.wav,161.72,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00004-2.wav,161.72,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00005-1.wav,140.21,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00005-2.wav,140.21,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00006-1.wav,95.21,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00006-2.wav,95.21,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00007-1.wav,106.69,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00007-2.wav,106.69,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00008-1.wav,135.72,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00008-2.wav,135.72,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00009-1.wav,60.13,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00009-2.wav,60.13,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00010-1.wav,103.44,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00010-2.wav,103.44,classical,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\classical\classical.00011-1.wav,75.67,classical,<function duration at 0x00000276FCAF1F70>
